written_at,indicator,period,value
2025-09-24T18:58:32,EMA,20,64.1018
2025-09-24T18:58:32,EMA,32,64.0692
2025-09-24T18:58:32,EMA,50,64.0276
2025-09-24T18:58:32,EMA,100,63.9455
2025-09-24T18:58:32,EMA,200,63.8379
2025-09-24T18:58:32,CCI,14,77.68393431587478
2025-09-24T19:15:49,EMA_fast,10,64.1132
2025-09-24T19:15:49,EMA_slow,200,63.8831
2025-09-24T19:15:49,EMA,10,64.1132
2025-09-24T19:15:49,EMA,20,64.1139
2025-09-24T19:15:49,EMA,32,64.102
2025-09-24T19:15:49,EMA,50,64.0739
2025-09-24T19:15:49,EMA,100,63.9968
2025-09-24T19:15:49,EMA,200,63.8831
2025-09-24T19:15:49,CCI,14,-12.56434561818885
2025-09-24T19:50:53,EMA_fast,10,64.1136
2025-09-24T19:50:53,EMA_slow,200,63.9405
2025-09-24T19:50:53,EMA,10,64.1136
2025-09-24T19:50:53,EMA,20,64.1033
2025-09-24T19:50:53,EMA,32,64.0968
2025-09-24T19:50:53,EMA,50,64.0869
2025-09-24T19:50:53,EMA,100,64.0418
2025-09-24T19:50:53,EMA,200,63.9405
2025-09-24T19:50:53,CCI,14,16.609272197373464
2025-09-24T20:38:36,EMA_fast,10,64.3537
2025-09-24T20:38:36,EMA_slow,200,64.0619
2025-09-24T20:38:36,EMA,10,64.3537
2025-09-24T20:38:36,EMA,20,64.3339
2025-09-24T20:38:36,EMA,32,64.3019
2025-09-24T20:38:36,EMA,50,64.2616
2025-09-24T20:38:36,EMA,100,64.1821
2025-09-24T20:38:36,EMA,200,64.0619
2025-09-24T20:38:36,CCI,14,-87.1879999155072
2025-09-24T20:55:40,EMA_fast,10,64.356
2025-09-24T20:55:40,EMA_slow,200,64.1076
2025-09-24T20:55:40,EMA,10,64.356
2025-09-24T20:55:40,EMA,20,64.3518
2025-09-24T20:55:40,EMA,32,64.3367
2025-09-24T20:55:40,EMA,50,64.3074
2025-09-24T20:55:40,EMA,100,64.2315
2025-09-24T20:55:40,EMA,200,64.1076
2025-09-24T20:55:40,CCI,14,-67.5666184448914
2025-09-24T21:02:10,EMA_fast,10,64.3386
2025-09-24T21:02:10,EMA_slow,200,64.1211
2025-09-24T21:02:10,EMA,10,64.3386
2025-09-24T21:02:10,EMA,20,64.3419
2025-09-24T21:02:10,EMA,32,64.3343
2025-09-24T21:02:10,EMA,50,64.312
2025-09-24T21:02:10,EMA,100,64.2425
2025-09-24T21:02:10,EMA,200,64.1211
2025-09-24T21:02:10,CCI,14,-25.81161734580668
2025-09-24T21:11:34,EMA_fast,10,64.3233
2025-09-24T21:11:34,EMA_slow,200,64.1408
2025-09-24T21:11:34,EMA,10,64.3233
2025-09-24T21:11:34,EMA,20,64.3297
2025-09-24T21:11:34,EMA,32,64.3293
2025-09-24T21:11:34,EMA,50,64.316
2025-09-24T21:11:34,EMA,100,64.2574
2025-09-24T21:11:34,EMA,200,64.1408
2025-09-24T21:11:34,CCI,14,14.364860122830443
2025-09-25T07:26:27,EMA_fast,10,64.1417
2025-09-25T07:26:27,EMA_slow,200,64.157
2025-09-25T07:26:27,EMA,10,64.1417
2025-09-25T07:26:27,EMA,20,64.1415
2025-09-25T07:26:27,EMA,32,64.1404
2025-09-25T07:26:27,EMA,50,64.1405
2025-09-25T07:26:27,EMA,100,64.1452
2025-09-25T07:26:27,EMA,200,64.157
2025-09-25T07:26:27,CCI,14,-44.73211375471736
2025-09-25T07:27:24,EMA_fast,10,64.1378
2025-09-25T07:27:24,EMA_slow,200,64.1565
2025-09-25T07:27:24,EMA,10,64.1378
2025-09-25T07:27:24,EMA,20,64.1395
2025-09-25T07:27:24,EMA,32,64.1392
2025-09-25T07:27:24,EMA,50,64.1397
2025-09-25T07:27:24,EMA,100,64.1447
2025-09-25T07:27:24,EMA,200,64.1565
2025-09-25T07:27:24,CCI,14,-145.25815960185312
2025-09-25T11:00:15,EMA_fast,10,64.0529
2025-09-25T11:00:15,EMA_slow,200,64.1367
2025-09-25T11:00:15,EMA,10,64.0529
2025-09-25T11:00:15,EMA,20,64.0484
2025-09-25T11:00:15,EMA,32,64.066
2025-09-25T11:00:15,EMA,50,64.0917
2025-09-25T11:00:15,EMA,100,64.124
2025-09-25T11:00:15,EMA,200,64.1367
2025-09-25T11:00:15,CCI,14,100.5749180970678
2025-09-25T11:02:37,EMA_fast,10,64.0893
2025-09-25T11:02:37,EMA_slow,200,64.1367
2025-09-25T11:02:37,EMA,10,64.0893
2025-09-25T11:02:37,EMA,20,64.0704
2025-09-25T11:02:37,EMA,32,64.0775
2025-09-25T11:02:37,EMA,50,64.0964
2025-09-25T11:02:37,EMA,100,64.1245
2025-09-25T11:02:37,EMA,200,64.1367
2025-09-25T11:02:37,CCI,14,83.56269920485114
2025-09-25T11:04:07,EMA_fast,10,64.0997
2025-09-25T11:04:07,EMA_slow,200,64.1368
2025-09-25T11:04:07,EMA,10,64.0997
2025-09-25T11:04:07,EMA,20,64.0778
2025-09-25T11:04:07,EMA,32,64.0818
2025-09-25T11:04:07,EMA,50,64.0985
2025-09-25T11:04:07,EMA,100,64.125
2025-09-25T11:04:07,EMA,200,64.1368
2025-09-25T11:04:07,CCI,14,63.73376068433772
